key,author,title,area,type
drucker-effective,Peter F. Drucker,The Effective Executive,Ejecución y liderazgo personal,core_or_module
drucker-management,Peter F. Drucker,"Management: Tasks, Responsibilities, Practices",Management,core_or_module
covey-7habits,Stephen R. Covey,The 7 Habits of Highly Effective People,Autoliderazgo,core_or_module
grove-output,Andrew S. Grove,High Output Management,Management,core_or_module
clear-atomic,James Clear,Atomic Habits,Hábitos,core_or_module
kahneman-thinking,Daniel Kahneman,"Thinking, Fast and Slow",Decisiones,core_or_module
klein-sources,Gary Klein,Sources of Power,Decisiones,core_or_module
rumelt-good,Richard Rumelt,Good Strategy/Bad Strategy,Estrategia,core_or_module
senge-fifth,Peter M. Senge,The Fifth Discipline,Pensamiento sistémico,core_or_module
duke-thinking,Annie Duke,Thinking in Bets,Decisiones,core_or_module
carnegie-friends,Dale Carnegie,How to Win Friends and Influence People,Comunicación,core_or_module
cuddy-presence,Amy Cuddy,Presence,Presencia,core_or_module
heath-made,Chip Heath & Dan Heath,Made to Stick,Comunicación,core_or_module
cialdini-influence,Robert B. Cialdini,Influence,Persuasión,core_or_module
fisher-getting,"Roger Fisher, William Ury & Bruce Patton",Getting to Yes,Negociación,core_or_module
goleman-ei,Daniel Goleman,Emotional Intelligence,Inteligencia emocional,core_or_module
goleman-primal,"Daniel Goleman, Richard Boyatzis & Annie McKee",Primal Leadership,Liderazgo,core_or_module
heifetz-line,Ronald Heifetz & Marty Linsky,Leadership on the Line,Liderazgo adaptativo,core_or_module
edmondson-fearless,Amy C. Edmondson,The Fearless Organization,Seguridad psicológica,core_or_module
duckworth-grit,Angela Duckworth,Grit,Resiliencia,core_or_module
lencioni-five,Patrick Lencioni,The Five Dysfunctions of a Team,Equipos,core_or_module
hackman-leading,J. Richard Hackman,Leading Teams,Equipos,core_or_module
scott-radical,Kim Scott,Radical Candor,Feedback,core_or_module
armstrong-hrm,Michael Armstrong & Stephen Taylor,Armstrong's Handbook of Human Resource Management Practice,RR.HH.,core_or_module
noe-hrm,Raymond Noe et al.,Human Resource Management,RR.HH.,core_or_module
buckingham-first,Marcus Buckingham & Curt Coffman,"First, Break All the Rules",Management de personas,core_or_module
sutton-goodboss,Robert I. Sutton,"Good Boss, Bad Boss",Management de personas,core_or_module
pmi-pmbok,Project Management Institute,A Guide to the Project Management Body of Knowledge (PMBOK Guide),Proyectos,core_or_module
kerzner-project,Harold Kerzner,Project Management,Proyectos,core_or_module
schwaber-scrum,Ken Schwaber & Jeff Sutherland,The Scrum Guide,Agile,core_or_module
anderson-kanban,David J. Anderson,Kanban,Flujo,core_or_module
forsgren-accelerate,"Nicole Forsgren, Jez Humble & Gene Kim",Accelerate,Entrega tecnológica,core_or_module
slack-operations,Nigel Slack & Alistair Brandon-Jones,Operations Management,Operaciones,core_or_module
goldratt-goal,Eliyahu M. Goldratt & Jeff Cox,The Goal,Restricciones,core_or_module
womack-lean,James P. Womack & Daniel T. Jones,Lean Thinking,Lean,core_or_module
deming-crisis,W. Edwards Deming,Out of the Crisis,Calidad,core_or_module
rummler-process,Geary A. Rummler & Alan P. Brache,Improving Performance,Procesos,core_or_module
doerr-okrs,John Doerr,Measure What Matters,OKR,core_or_module
kaplan-scorecard,Robert S. Kaplan & David P. Norton,The Balanced Scorecard,Control de gestión,core_or_module
marr-kpi,Bernard Marr,Key Performance Indicators,Métricas,core_or_module
brealey-corpfin,"Richard Brealey, Stewart Myers & Franklin Allen",Principles of Corporate Finance,Finanzas corporativas,core_or_module
ross-corpfin,"Stephen Ross, Randolph Westerfield et al.",Corporate Finance,Finanzas corporativas,core_or_module
koller-valuation,"Tim Koller, Marc Goedhart & David Wessels",Valuation: Measuring and Managing the Value of Companies,Valoración,core_or_module
damodaran-valuation,Aswath Damodaran,Investment Valuation,Valoración,core_or_module
horngren-managerial,Charles Horngren et al.,Cost Accounting: A Managerial Emphasis,Contabilidad gerencial,core_or_module
rackham-spin,Neil Rackham,SPIN Selling,Ventas,core_or_module
dixon-challenger,Matthew Dixon & Brent Adamson,The Challenger Sale,Ventas,core_or_module
voss-never,Chris Voss & Tahl Raz,Never Split the Difference,Negociación,core_or_module
malhotra-negotiation,Deepak Malhotra & Max H. Bazerman,Negotiation Genius,Negociación,core_or_module
kotler-marketing,Philip Kotler & Kevin Lane Keller,Marketing Management,Marketing,core_or_module
sharp-brands,Byron Sharp,How Brands Grow,Marketing,core_or_module
dunford-obvious,April Dunford,Obviously Awesome,Posicionamiento,core_or_module
moore-chasm,Geoffrey A. Moore,Crossing the Chasm,Go-to-market,core_or_module
ellis-hacking,Sean Ellis & Morgan Brown,Hacking Growth,Growth,core_or_module
cagan-inspired,Marty Cagan,Inspired,Producto,core_or_module
torres-discovery,Teresa Torres,Continuous Discovery Habits,Product discovery,core_or_module
osterwalder-testing,David J. Bland & Alexander Osterwalder,Testing Business Ideas,Validación,core_or_module
christensen-competing,Clayton M. Christensen et al.,Competing Against Luck,Jobs to Be Done,core_or_module
ries-lean,Eric Ries,The Lean Startup,Emprendimiento,core_or_module
porter-strategy,Michael E. Porter,Competitive Strategy,Estrategia,core_or_module
porter-advantage,Michael E. Porter,Competitive Advantage,Estrategia,core_or_module
lafley-winning,A.G. Lafley & Roger L. Martin,Playing to Win,Estrategia,core_or_module
kim-blue,W. Chan Kim & Renée Mauborgne,Blue Ocean Strategy,Estrategia,core_or_module
schein-culture,Edgar H. Schein & Peter A. Schein,Organizational Culture and Leadership,Cultura,core_or_module
galbraith-design,Jay R. Galbraith,Designing Organizations,Diseño organizacional,core_or_module
kotter-leading,John P. Kotter,Leading Change,Cambio,core_or_module
heath-switch,Chip Heath & Dan Heath,Switch,Cambio,core_or_module
lencioni-advantage,Patrick Lencioni,The Advantage,Salud organizacional,core_or_module
coso-erm,COSO,Enterprise Risk Management—Integrating with Strategy and Performance,Riesgo,core_or_module
hull-risk,John C. Hull,Risk Management and Financial Institutions,Riesgo,core_or_module
nist-csf,NIST,Cybersecurity Framework (CSF) 2.0,Ciberseguridad,core_or_module
nist-airmf,NIST,AI Risk Management Framework (AI RMF 1.0),IA responsable,core_or_module
oecd-ai,OECD,OECD AI Principles,IA responsable,core_or_module
horowitz-hard,Ben Horowitz,The Hard Thing About Hard Things,CEO / Founder,core_or_module
mochary-ceo,Matt Mochary,The Great CEO Within,CEO,core_or_module
charan-execution,Larry Bossidy & Ram Charan,Execution,Ejecución,core_or_module
tricker-governance,Bob Tricker,Corporate Governance,Gobierno corporativo,core_or_module
oecd-governance,OECD,G20/OECD Principles of Corporate Governance 2023,Gobierno corporativo,core_or_module
lebanc-boards,Richard Leblanc & James Gillies,Inside the Boardroom,Directorios,core_or_module
charan-boards,Ram Charan,Boards That Deliver,Directorios,core_or_module
monks-governance,Robert A. G. Monks & Nell Minow,Corporate Governance,Gobierno corporativo,core_or_module
feld-venture,Brad Feld & Jason Mendelson,Venture Deals,Venture capital,core_or_module
dePamphilis-ma,Donald DePamphilis,"Mergers, Acquisitions, and Other Restructuring Activities",M&A,core_or_module
iansiti-ai,Marco Iansiti & Karim R. Lakhani,Competing in the Age of AI,IA y estrategia,core_or_module
davenport-allin,Thomas H. Davenport & Nitin Mittal,All-In on AI,IA empresarial,core_or_module
westerman-digital,"George Westerman, Didier Bonnet & Andrew McAfee",Leading Digital,Transformación digital,core_or_module
mcafee-machine,Andrew McAfee & Erik Brynjolfsson,"Machine, Platform, Crowd",Economía digital,core_or_module
blank-four,Steve Blank,The Four Steps to the Epiphany,Customer development,core_or_module
osterwalder-business,Alexander Osterwalder & Yves Pigneur,Business Model Generation,Modelos de negocio,core_or_module
aulet-disciplined,Bill Aulet,Disciplined Entrepreneurship,Emprendimiento,core_or_module
wasserman-founders,Noam Wasserman,The Founder's Dilemmas,Founders,core_or_module
